"Secteurs administratifs","Scrutin","Année","Date","INSCRITS","EMARGEMENTS","VOTANTS","BLANCS","NULS","EXPRIMES","Contre","Pour"
"Paris Centre","Votation - Pour ou contre les trottinettes en libre-service à Paris ?","2023","4/2/2023","68,816","7,305","7,304","12","25","7,267","6,233","1,034"
"5e","Votation - Pour ou contre les trottinettes en libre-service à Paris ?","2023","4/2/2023","38,459","3,622","3,626","3","7","3,616","3,180","436"
"6e","Votation - Pour ou contre les trottinettes en libre-service à Paris ?","2023","4/2/2023","27,266","3,096","3,095","0","6","3,089","2,743","346"
"7e","Votation - Pour ou contre les trottinettes en libre-service à Paris ?","2023","4/2/2023","33,929","3,290","3,291","4","3","3,284","2,911","373"
"8e","Votation - Pour ou contre les trottinettes en libre-service à Paris ?","2023","4/2/2023","25,712","2,684","2,686","3","5","2,678","2,376","302"
"9e","Votation - Pour ou contre les trottinettes en libre-service à Paris ?","2023","4/2/2023","41,074","3,618","3,620","5","7","3,608","3,159","449"
"10e","Votation - Pour ou contre les trottinettes en libre-service à Paris ?","2023","4/2/2023","57,859","4,393","4,392","8","7","4,377","3,824","553"
"11e","Votation - Pour ou contre les trottinettes en libre-service à Paris ?","2023","4/2/2023","96,199","6,225","6,229","6","12","6,211","5,486","725"
"12e","Votation - Pour ou contre les trottinettes en libre-service à Paris ?","2023","4/2/2023","94,135","7,441","7,447","13","20","7,414","6,617","797"
"13e","Votation - Pour ou contre les trottinettes en libre-service à Paris ?","2023","4/2/2023","114,129","7,555","7,558","7","21","7,530","6,777","753"
"14e","Votation - Pour ou contre les trottinettes en libre-service à Paris ?","2023","4/2/2023","87,374","7,217","7,220","12","38","7,170","6,331","839"
"15e","Votation - Pour ou contre les trottinettes en libre-service à Paris ?","2023","4/2/2023","147,742","11,453","11,457","15","35","11,407","10,353","1,054"
"16e","Votation - Pour ou contre les trottinettes en libre-service à Paris ?","2023","4/2/2023","101,340","6,587","6,590","4","10","6,576","6,035","541"
"17e","Votation - Pour ou contre les trottinettes en libre-service à Paris ?","2023","4/2/2023","104,954","6,801","6,803","10","18","6,775","5,968","807"
"18e","Votation - Pour ou contre les trottinettes en libre-service à Paris ?","2023","4/2/2023","112,388","7,623","7,627","19","20","7,588","6,742","846"
"19e","Votation - Pour ou contre les trottinettes en libre-service à Paris ?","2023","4/2/2023","111,467","6,533","6,531","12","34","6,485","5,815","670"
"20e","Votation - Pour ou contre les trottinettes en libre-service à Paris ?","2023","4/2/2023","119,479","7,603","7,608","6","36","7,566","6,835","731"
